Category	ID	Name	Source	p-value	q-value Bonferroni	q-value FDR B&H	q-value FDR B&Y	Hit Count in Query List	Hit Count in Genome	Hit in Query List
GO: Molecular Function	GO:0034987	immunoglobulin receptor binding	 	9.377E-33	1.491E-30	1.491E-30	8.423E-30	19	84	IGHV3-48,IGHV3-30,IGHV3-23,IGHV3-13,IGHV3-11,IGLC7,IGHV3-7,IGHA1,IGHA2,IGHG2,IGHG3,IGHG4,IGHM,JCHAIN,IGLC3,IGLC6,IGHV3-74,IGHV3-72,IGHV3-64D
GO: Molecular Function	GO:0003823	antigen binding	 	1.615E-31	2.568E-29	1.284E-29	7.255E-29	22	183	IGHV3-48,IGHV3-30,IGHV3-23,IGHV3-13,IGHV3-11,IGLC7,IGHV3-7,IGHA1,IGHA2,IGHG2,IGHG3,IGHG4,IGHM,JCHAIN,IGLC3,IGLC6,IGKV3-20,IGKV2-30,IGHV3-74,IGHV3-72,IGLV3-21,IGHV3-64D
GO: Molecular Function	GO:0005102	signaling receptor binding	 	3.314E-16	5.270E-14	1.757E-14	9.924E-14	29	1945	A2M,IGHV3-48,SAA1,SAA2,IGHV3-30,IGHV3-23,IGHV3-13,IGHV3-11,IGLC7,IGHV3-7,IGHA1,IGHA2,IGHG2,IGHG3,IGHG4,IGHM,JCHAIN,FGA,FGB,C3,APOA1,IGLC3,IGLC6,APOC3,FGG,IGHV3-74,CRP,IGHV3-72,IGHV3-64D
GO: Molecular Function	GO:0004867	serine-type endopeptidase inhibitor activity	 	3.646E-10	5.797E-8	1.449E-8	8.188E-8	8	106	A2M,SERPINA3,SERPINA1,SERPING1,SERPINC1,PZP,SERPINA2,ITIH4
GO: Molecular Function	GO:0004866	endopeptidase inhibitor activity	 	2.143E-9	3.408E-7	6.816E-8	3.851E-7	9	195	A2M,SERPINA3,SERPINA1,SERPING1,SERPINC1,C3,PZP,SERPINA2,ITIH4
GO: Molecular Function	GO:0030414	peptidase inhibitor activity	 	3.052E-9	4.852E-7	8.087E-8	4.569E-7	9	203	A2M,SERPINA3,SERPINA1,SERPING1,SERPINC1,C3,PZP,SERPINA2,ITIH4
GO: Molecular Function	GO:0061135	endopeptidase regulator activity	 	3.621E-9	5.758E-7	8.225E-8	4.647E-7	9	207	A2M,SERPINA3,SERPINA1,SERPING1,SERPINC1,C3,PZP,SERPINA2,ITIH4
GO: Molecular Function	GO:0004252	serine-type endopeptidase activity	 	4.648E-9	7.391E-7	9.239E-8	5.219E-7	10	293	A2M,SERPINA3,SERPINA1,HP,HPR,SERPING1,SERPINC1,PZP,SERPINA2,ITIH4
GO: Molecular Function	GO:0008236	serine-type peptidase activity	 	8.216E-9	1.306E-6	1.451E-7	8.200E-7	10	311	A2M,SERPINA3,SERPINA1,HP,HPR,SERPING1,SERPINC1,PZP,SERPINA2,ITIH4
GO: Molecular Function	GO:0017171	serine hydrolase activity	 	9.563E-9	1.521E-6	1.521E-7	8.590E-7	10	316	A2M,SERPINA3,SERPINA1,HP,HPR,SERPING1,SERPINC1,PZP,SERPINA2,ITIH4
GO: Molecular Function	GO:0004857	enzyme inhibitor activity	 	1.281E-8	2.037E-6	1.852E-7	1.046E-6	11	425	A2M,SERPINA3,SERPINA1,SERPING1,SERPINC1,C3,APOA1,APOC3,PZP,SERPINA2,ITIH4
GO: Molecular Function	GO:0061134	peptidase regulator activity	 	2.222E-8	3.533E-6	2.944E-7	1.663E-6	9	255	A2M,SERPINA3,SERPINA1,SERPING1,SERPINC1,C3,PZP,SERPINA2,ITIH4
GO: Molecular Function	GO:0001848	complement binding	 	5.225E-8	8.309E-6	6.391E-7	3.611E-6	5	38	CFH,APCS,SERPING1,C4BPA,CRP
GO: Molecular Function	GO:0005539	glycosaminoglycan binding	 	4.889E-7	7.774E-5	5.553E-6	3.137E-5	8	266	CFH,SAA1,SAA2,IGHM,JCHAIN,SERPINC1,APOH,ITIH4
GO: Molecular Function	GO:0002020	protease binding	 	5.880E-7	9.348E-5	6.232E-6	3.521E-5	9	375	A2M,SERPINA3,SERPINA1,SERPING1,SERPINC1,C3,PZP,SERPINA2,ITIH4
GO: Molecular Function	GO:0004175	endopeptidase activity	 	1.494E-6	2.375E-4	1.485E-5	8.387E-5	11	683	A2M,SERPINA3,SERPINA1,HP,HPR,SERPING1,SERPINC1,C3,PZP,SERPINA2,ITIH4
GO: Molecular Function	GO:0005496	steroid binding	 	1.767E-6	2.810E-4	1.653E-5	9.336E-5	6	138	APCS,GC,APOA1,ALB,APOC3,CRP
GO: Molecular Function	GO:0070653	high-density lipoprotein particle receptor binding	 	2.091E-5	3.324E-3	1.847E-4	1.043E-3	2	3	APOA1,APOC3
GO: Molecular Function	GO:0015485	cholesterol binding	 	2.546E-5	4.048E-3	2.046E-4	1.156E-3	4	64	APCS,APOA1,APOC3,CRP
GO: Molecular Function	GO:0008233	peptidase activity	 	2.573E-5	4.091E-3	2.046E-4	1.156E-3	11	922	A2M,SERPINA3,SERPINA1,HP,HPR,SERPING1,SERPINC1,C3,PZP,SERPINA2,ITIH4
GO: Molecular Function	GO:0001846	opsonin binding	 	4.462E-5	7.094E-3	3.267E-4	1.846E-3	3	26	CFH,APCS,CRP
GO: Molecular Function	GO:0032934	sterol binding	 	4.521E-5	7.188E-3	3.267E-4	1.846E-3	4	74	APCS,APOA1,APOC3,CRP
GO: Molecular Function	GO:0008289	lipid binding	 	1.485E-4	2.361E-2	9.724E-4	5.494E-3	10	929	IGHM,JCHAIN,APCS,C3,GC,APOA1,ALB,APOC3,APOH,CRP
GO: Molecular Function	GO:0070325	lipoprotein particle receptor binding	 	1.530E-4	2.433E-2	9.724E-4	5.494E-3	3	39	APOA1,APOC3,CRP
GO: Molecular Function	GO:0008201	heparin binding	 	1.614E-4	2.567E-2	9.724E-4	5.494E-3	5	193	CFH,SAA1,SAA2,SERPINC1,APOH
GO: Molecular Function	GO:0031210	phosphatidylcholine binding	 	1.651E-4	2.626E-2	9.724E-4	5.494E-3	3	40	IGHM,JCHAIN,APOA1
GO: Molecular Function	GO:0050997	quaternary ammonium group binding	 	1.651E-4	2.626E-2	9.724E-4	5.494E-3	3	40	IGHM,JCHAIN,APOA1
GO: Molecular Function	GO:0030234	enzyme regulator activity	 	1.714E-4	2.725E-2	9.731E-4	5.497E-3	12	1342	A2M,SERPINA3,SERPINA1,SERPING1,SERPINC1,C3,APOA1,APOC3,APOH,PZP,SERPINA2,ITIH4
GO: Molecular Function	GO:0043178	alcohol binding	 	1.969E-4	3.131E-2	1.080E-3	6.100E-3	4	108	APCS,APOA1,APOC3,CRP
GO: Molecular Function	GO:0071813	lipoprotein particle binding	 	2.349E-4	3.736E-2	1.205E-3	6.808E-3	3	45	APCS,APOA1,CRP
GO: Molecular Function	GO:0071814	protein-lipid complex binding	 	2.349E-4	3.736E-2	1.205E-3	6.808E-3	3	45	APCS,APOA1,CRP
GO: Molecular Function	GO:0001849	complement component C1q complex binding	 	3.099E-4	4.927E-2	1.540E-3	8.699E-3	2	10	APCS,CRP
GO: Molecular Function	GO:0030492	hemoglobin binding	 	3.781E-4	6.012E-2	1.768E-3	9.989E-3	2	11	HP,HPR
GO: Molecular Function	GO:0008142	oxysterol binding	 	3.781E-4	6.012E-2	1.768E-3	9.989E-3	2	11	APCS,CRP
GO: Molecular Function	GO:0005499	vitamin D binding	 	4.530E-4	7.202E-2	2.058E-3	1.162E-2	2	12	GC,ALB
GO: Molecular Function	GO:0055102	lipase inhibitor activity	 	1.160E-3	1.844E-1	5.122E-3	2.893E-2	2	19	APOA1,APOC3
GO: Molecular Function	GO:0042834	peptidoglycan binding	 	1.419E-3	2.257E-1	6.099E-3	3.445E-2	2	21	IGHM,JCHAIN
GO: Molecular Function	GO:1901681	sulfur compound binding	 	1.557E-3	2.476E-1	6.516E-3	3.681E-2	5	318	CFH,SAA1,SAA2,SERPINC1,APOH
GO: Molecular Function	GO:0046790	virion binding	 	2.348E-3	3.733E-1	9.573E-3	5.408E-2	2	27	APCS,CRP
GO: Molecular Function	GO:0016209	antioxidant activity	 	2.484E-3	3.949E-1	9.781E-3	5.526E-2	3	101	HP,HPR,ALB
GO: Molecular Function	GO:1902118	calcidiol binding	 	2.674E-3	4.252E-1	9.781E-3	5.526E-2	1	1	GC
GO: Molecular Function	GO:0031714	C5a anaphylatoxin chemotactic receptor binding	 	2.674E-3	4.252E-1	9.781E-3	5.526E-2	1	1	C3
GO: Molecular Function	GO:0031715	C5L2 anaphylatoxin chemotactic receptor binding	 	2.674E-3	4.252E-1	9.781E-3	5.526E-2	1	1	C3
GO: Molecular Function	GO:0030169	low-density lipoprotein particle binding	 	2.707E-3	4.304E-1	9.781E-3	5.526E-2	2	29	APCS,CRP
GO: Molecular Function	GO:0090482	vitamin transmembrane transporter activity	 	3.708E-3	5.896E-1	1.301E-2	7.347E-2	2	34	GC,ALB
