Category	ID	Name	Source	p-value	q-value Bonferroni	q-value FDR B&H	q-value FDR B&Y	Hit Count in Query List	Hit Count in Genome	Hit in Query List
GO: Molecular Function	GO:0005198	structural molecule activity	 	2.961E-36	1.332E-34	1.332E-34	5.856E-34	33	772	KRT1,KRT2,KRT20,KRT5,KRT6A,KRT26,KRT6B,JUP,KRT9,KRT10,KRT12,KRT13,KRT14,KRT76,KRT24,KRT15,KRT16,KRT75,FLG2,KRT17,KRT71,KRT19,DSP,KRT31,KRT32,KRT27,KRT33B,KRT25,KRT35,KRT38,KRT28,KRT37,KRT222
GO: Molecular Function	GO:0005200	structural constituent of cytoskeleton	 	2.846E-24	1.281E-22	6.405E-23	2.815E-22	16	125	KRT2,KRT20,KRT5,KRT6A,KRT6B,KRT9,KRT14,KRT76,KRT24,KRT15,KRT16,KRT17,KRT71,KRT19,DSP,KRT31
GO: Molecular Function	GO:0030280	structural constituent of skin epidermis	 	6.798E-6	3.059E-4	1.020E-4	4.482E-4	3	16	KRT1,KRT2,KRT10
GO: Molecular Function	GO:0086083	cell adhesive protein binding involved in bundle of His cell-Purkinje myocyte communication	 	5.452E-5	2.453E-3	6.134E-4	2.696E-3	2	5	JUP,DSP
GO: Molecular Function	GO:1990254	keratin filament binding	 	8.166E-5	3.675E-3	7.349E-4	3.230E-3	2	6	KRT14,KRT74
GO: Molecular Function	GO:0016936	galactoside binding	 	4.202E-4	1.891E-2	3.151E-3	1.385E-2	2	13	LGALS7B,LGALS7
GO: Molecular Function	GO:0086080	protein binding involved in heterotypic cell-cell adhesion	 	7.282E-4	3.277E-2	4.564E-3	2.006E-2	2	17	JUP,DSP
GO: Molecular Function	GO:0097110	scaffold protein binding	 	8.971E-4	4.037E-2	4.564E-3	2.006E-2	3	80	KRT5,KRT15,DSP
GO: Molecular Function	GO:0019215	intermediate filament binding	 	9.128E-4	4.108E-2	4.564E-3	2.006E-2	2	19	KRT14,KRT74
GO: Molecular Function	GO:0106006	cytoskeletal protein-membrane anchor activity	 	7.080E-3	3.186E-1	3.186E-2	1.400E-1	1	3	JUP
