,moduleLabels,moduleColors
GALD1,1,turquoise
UN13C,1,turquoise
AFG2H,0,grey
AVL9,1,turquoise
PCYXL,0,grey
RDH13,0,grey
TXND5,4,yellow
ATAD1,1,turquoise
SCPDL,1,turquoise
RETR2,1,turquoise
PAIRB,0,grey
NECP1,1,turquoise
FA98A,4,yellow
CAMKV,1,turquoise
DGLB,0,grey
NNRE,0,grey
CCNY,1,turquoise
MROH1,1,turquoise
PEPL1,0,grey
EHBP1,0,grey
VGLU3,1,turquoise
CHDH,0,grey
ABCF1,0,grey
MCU,1,turquoise
PK3C3,0,grey
DP13B,0,grey
CSK23,1,turquoise
EXPH5,1,turquoise
VATC2,4,yellow
PCAT1,0,grey
SYNE1,0,grey
UBP32,0,grey
FAD1,0,grey
REPS2,0,grey
F10A5,1,turquoise
NUD11,0,grey
NBEA,4,yellow
ABHDB,0,grey
NEUA,0,grey
STXB6,3,brown
NLGNY,1,turquoise
NLGN2,1,turquoise
CADM4,3,brown
O56B2,1,turquoise
SVIP,3,brown
ATLA2,0,grey
ARK74,1,turquoise
PLBL2,0,grey
DNJB8,0,grey
RLA0L,0,grey
NCOA7,1,turquoise
PPTC7,0,grey
COQ8A,0,grey
PSMA8,0,grey
SCAM5,1,turquoise
WDR48,1,turquoise
ERMIN,3,brown
STML3,0,grey
SPT20,0,grey
GDAP1,1,turquoise
TIP,4,yellow
S7A14,1,turquoise
UBA3,1,turquoise
PXL2B,0,grey
SYNPR,1,turquoise
PI42C,1,turquoise
RDH11,0,grey
TM163,1,turquoise
PNPT1,0,grey
PREX1,0,grey
C99L2,0,grey
MK15,0,grey
SFXN5,1,turquoise
RS4Y2,0,grey
GTR14,1,turquoise
BRSK1,1,turquoise
DMXL2,1,turquoise
GNPI2,0,grey
DTD1,0,grey
GEMI5,0,grey
DLRB2,3,brown
C2C4C,0,grey
FBX41,1,turquoise
WIPF2,1,turquoise
SMAP2,1,turquoise
RAB2B,1,turquoise
PTPM1,0,grey
PDC6I,1,turquoise
THEM6,0,grey
PRUN2,1,turquoise
NUDC2,3,brown
SCFD1,0,grey
MA11,1,turquoise
HNRLL,0,grey
UBCP1,0,grey
PCNP,0,grey
DNJA4,1,turquoise
SPRY4,1,turquoise
MAIP1,0,grey
DNJB3,0,grey
LMO7,1,turquoise
CTL1,3,brown
PALLD,5,green
RUFY2,5,green
SCG3,1,turquoise
CSKI1,1,turquoise
CSKI2,1,turquoise
STON2,0,grey
PSPC1,1,turquoise
ATLA1,1,turquoise
MADD,1,turquoise
CNKR2,1,turquoise
CCG8,1,turquoise
BRI3B,1,turquoise
PPM1E,0,grey
CTBL1,0,grey
SEPT1,1,turquoise
LZIC,3,brown
RPGF4,1,turquoise
IRGQ,5,green
DDX1,4,yellow
DHB8,1,turquoise
H1X,4,yellow
TCPW,0,grey
PSMF1,4,yellow
GBF1,0,grey
NICA,4,yellow
RT27,4,yellow
ELMO1,3,brown
WASF1,1,turquoise
PHYIP,1,turquoise
AP3S1,1,turquoise
TSC1,0,grey
UBXN4,0,grey
SL9A6,1,turquoise
NDRG1,3,brown
HS105,1,turquoise
SEPT8,3,brown
EDEM1,1,turquoise
MY18A,3,brown
GCN1,0,grey
ANS1A,1,turquoise
LPAR1,3,brown
AKAP1,0,grey
NEUG,5,green
AN32B,1,turquoise
PGTA,0,grey
TFG,0,grey
RYR2,1,turquoise
HTRA1,1,turquoise
ARC1A,1,turquoise
TENR,1,turquoise
KRT35,9,magenta
SYN2,1,turquoise
STAM1,5,green
DLG3,1,turquoise
RBP56,0,grey
GGH,0,grey
NRCAM,1,turquoise
HYAS1,1,turquoise
DDX17,0,grey
KIFA3,1,turquoise
SEM4D,1,turquoise
NEO1,0,grey
KLK6,1,turquoise
CELF1,0,grey
OSTF1,1,turquoise
UFD1,0,grey
GSLG1,0,grey
RENT1,0,grey
CSN5,5,green
FGF14,1,turquoise
RAB1C,1,turquoise
RAB8B,1,turquoise
PTPR2,1,turquoise
FUBP2,0,grey
GCDH,0,grey
TNPO1,0,grey
ARHG2,1,turquoise
USP9X,1,turquoise
UBP7,1,turquoise
CUL5,0,grey
STMN2,0,grey
VPP1,1,turquoise
LPP,5,green
AT2A3,1,turquoise
TP4A1,4,yellow
KPBB,0,grey
1C17,8,pink
SCAM4,3,brown
TCAL3,0,grey
TSR2,1,turquoise
SMCE1,0,grey
MYDGF,1,turquoise
MAL2,1,turquoise
TM40L,0,grey
IGSF8,5,green
RL36L,0,grey
WBP2,3,brown
NCLN,0,grey
MARC2,0,grey
PP14A,4,yellow
VATE2,1,turquoise
H2B1A,4,yellow
CPNE4,0,grey
F162A,1,turquoise
CCD47,0,grey
SYAP1,0,grey
EXOC4,1,turquoise
ISOC2,1,turquoise
FERM2,5,green
FUBP1,0,grey
TTC17,1,turquoise
S2546,1,turquoise
LRC59,0,grey
PBIP1,1,turquoise
RPE,1,turquoise
VP33A,0,grey
RAB37,0,grey
ZN428,0,grey
TM186,1,turquoise
SH3K1,3,brown
AIDA,1,turquoise
ARL8A,1,turquoise
CC127,0,grey
CHP3,0,grey
DOC10,0,grey
F136A,1,turquoise
EFHD2,1,turquoise
EVI5L,0,grey
ISOC1,1,turquoise
FAF2,1,turquoise
OPTN,1,turquoise
AP2M1,1,turquoise
KCD12,3,brown
REPS1,0,grey
RB39B,4,yellow
HDA11,3,brown
SHSA4,1,turquoise
NUD16,0,grey
CMBL,5,green
RM38,1,turquoise
CKLF5,3,brown
RAB3C,1,turquoise
RMXL1,0,grey
F120B,0,grey
T3HPD,3,brown
DAZP1,0,grey
SGTB,0,grey
DNJA3,1,turquoise
MMAB,0,grey
CYFP2,1,turquoise
CNRP1,1,turquoise
PHIPL,1,turquoise
LIGO1,1,turquoise
DYL2,3,brown
CPNE2,0,grey
S10AG,4,yellow
SCRN2,1,turquoise
OTUB1,1,turquoise
CHMP6,0,grey
PGM2,1,turquoise
SDSL,1,turquoise
PLPP,1,turquoise
DCNL1,0,grey
FAH2A,0,grey
RUS1,1,turquoise
ACBG1,1,turquoise
BORC6,0,grey
PGCB,1,turquoise
MTNB,4,yellow
ZC21A,5,green
TONSL,0,grey
PDLI5,5,green
ERO1A,1,turquoise
GRM2B,0,grey
SAHH3,0,grey
PGAM5,0,grey
DIRA2,5,green
DDRGK,3,brown
FUBP3,0,grey
SUCB2,1,turquoise
IGS21,1,turquoise
GMPPA,0,grey
ABHEB,1,turquoise
ATPMD,1,turquoise
ITCH,0,grey
ABCCB,1,turquoise
LRIG1,0,grey
CK5P3,0,grey
VPS39,0,grey
AKCL2,1,turquoise
MAP6,1,turquoise
VPS50,1,turquoise
VCIP1,1,turquoise
ELMO2,4,yellow
TMX3,1,turquoise
CC136,0,grey
UBP47,0,grey
SCYL1,4,yellow
CNDP1,3,brown
EXOC2,0,grey
CNDP2,4,yellow
ZFR,0,grey
C170L,0,grey
RL10L,0,grey
MARK4,1,turquoise
CPNS2,1,turquoise
SNX27,0,grey
CANB2,1,turquoise
FXL18,6,red
CQ10A,1,turquoise
HS12B,5,green
GD1L1,1,turquoise
MBOA7,1,turquoise
YPEL4,0,grey
LRRC7,3,brown
CLIC6,3,brown
AGAP3,1,turquoise
SPB12,0,grey
IPO9,0,grey
INP4A,1,turquoise
OPALI,3,brown
RBM14,0,grey
NED4L,0,grey
QKI,4,yellow
SYGP1,1,turquoise
FMNL2,3,brown
TPPC9,1,turquoise
PLIN4,0,grey
TRNT1,1,turquoise
CDK15,0,grey
MYCT,1,turquoise
MTMR9,1,turquoise
VPS35,1,turquoise
PURB,1,turquoise
H2A1A,3,brown
RET7,0,grey
VP13A,0,grey
MCCA,0,grey
KKCC2,4,yellow
NUDC1,0,grey
FNBP1,3,brown
MTL26,0,grey
RANB9,0,grey
HPLN3,1,turquoise
LYSM1,1,turquoise
MYADM,3,brown
NEB2,1,turquoise
STRBP,0,grey
OSBL9,0,grey
AEDO,0,grey
MA7D2,0,grey
RUFY1,3,brown
MMS19,0,grey
SL9A7,1,turquoise
RMD3,0,grey
SCN2A,1,turquoise
DCE1,1,turquoise
CYH2,5,green
TBCB,3,brown
NELL2,0,grey
PSB7,0,grey
CNN2,1,turquoise
SEC62,3,brown
PCY2,0,grey
K1C12,9,magenta
CDC5L,0,grey
PSMD1,0,grey
PFD5,1,turquoise
AGAP2,1,turquoise
PARK7,0,grey
SORT,3,brown
VAT1,1,turquoise
PKP4,0,grey
PI3R4,0,grey
P2RX7,0,grey
S10AD,1,turquoise
EIF3C,0,grey
TTC1,6,red
PHB2,1,turquoise
CSN8,6,red
C560,1,turquoise
CHP1,1,turquoise
M3K5,0,grey
MGLL,1,turquoise
HCD2,1,turquoise
COCA1,6,red
SEPT5,1,turquoise
ZNT3,1,turquoise
ROAA,0,grey
NP1L4,0,grey
SNAG,1,turquoise
PI51A,1,turquoise
APBA2,5,green
NOE1,1,turquoise
ACON,1,turquoise
COQ7,1,turquoise
TS101,0,grey
CPNE1,0,grey
TCPH,6,red
ANM1,0,grey
SC6A7,1,turquoise
PLCA,0,grey
PRRT1,1,turquoise
PKP2,0,grey
SH3G1,1,turquoise
SH3G2,1,turquoise
SH3G3,1,turquoise
DPYL5,3,brown
NIPS1,1,turquoise
ARP5L,1,turquoise
TICN3,0,grey
MEP50,0,grey
TBA1C,0,grey
APOL2,1,turquoise
SYT3,1,turquoise
AIF1L,3,brown
SGIP1,1,turquoise
FERM1,5,green
GORS1,1,turquoise
ST4A1,1,turquoise
COR1B,3,brown
TXD17,4,yellow
CPPED,3,brown
REEP2,1,turquoise
SRSF8,0,grey
PYM1,1,turquoise
MIC25,1,turquoise
ADPGK,0,grey
UQCC2,1,turquoise
PELO,0,grey
PXL2A,1,turquoise
ERP44,0,grey
NPS3B,0,grey
TIM29,0,grey
TACO1,1,turquoise
HDHD3,4,yellow
GCP2,0,grey
ESYT1,1,turquoise
CP070,0,grey
INP5K,0,grey
CSN4,5,green
SYT11,0,grey
DCTN5,6,red
AASD1,0,grey
LRRC1,0,grey
TMM43,5,green
FSD1,1,turquoise
TBCD,0,grey
DHRS4,0,grey
NDUF3,1,turquoise
ISCA1,1,turquoise
TBB6,3,brown
PAXX,1,turquoise
HNRL1,1,turquoise
PDC10,1,turquoise
EFHD1,0,grey
MIC26,1,turquoise
BDH2,1,turquoise
MTNA,0,grey
SCMC3,1,turquoise
MECR,1,turquoise
NTM1A,0,grey
KTNB1,0,grey
TBB2B,3,brown
TM109,6,red
PBDC1,0,grey
DUS23,0,grey
TMED9,0,grey
TPPP3,4,yellow
HIG2A,0,grey
THIC,1,turquoise
FUND2,1,turquoise
RPAP1,0,grey
SFXN3,1,turquoise
LFG2,1,turquoise
CHID1,0,grey
LS14B,0,grey
SRBS1,6,red
JAM3,3,brown
HINT2,1,turquoise
OSB11,0,grey
OSB10,0,grey
RFIP5,1,turquoise
NAA15,0,grey
B2L13,0,grey
FSD1L,0,grey
SRRT,0,grey
AP1M1,1,turquoise
OSBL1,3,brown
PACN1,1,turquoise
ITPA,0,grey
CADM1,1,turquoise
SHAN3,1,turquoise
SCOT2,1,turquoise
RM01,0,grey
NEUL,0,grey
CEP41,1,turquoise
ACTBM,0,grey
LDH6B,1,turquoise
PANK2,0,grey
DOCK9,1,turquoise
PITM3,1,turquoise
CELF4,4,yellow
ABCA2,0,grey
OSBL8,5,green
NACP4,0,grey
PP12C,0,grey
UBXN6,1,turquoise
TRIM2,3,brown
TB182,0,grey
UBE2O,5,green
PHAR1,1,turquoise
ZY11B,0,grey
LNP,0,grey
SRCN1,3,brown
ARP3C,1,turquoise
TINAL,6,red
NDEL1,0,grey
ROGDI,1,turquoise
CT027,0,grey
PITH1,6,red
SLIRP,1,turquoise
SRR,1,turquoise
NIF3L,3,brown
IF5A2,0,grey
HPLN2,3,brown
MFF,1,turquoise
UBA5,5,green
LHPP,1,turquoise
NACA2,0,grey
T126A,1,turquoise
PAIP1,6,red
CLPB,0,grey
RB33B,0,grey
KLC2,5,green
ADT4,0,grey
TOLIP,1,turquoise
ARL6,0,grey
PHS2,0,grey
FA49A,5,green
FXYD6,1,turquoise
TM222,3,brown
HDHD2,1,turquoise
GBRL1,0,grey
RAB1B,1,turquoise
CK054,1,turquoise
SNAB,1,turquoise
STMN4,0,grey
NUCKS,1,turquoise
TMX4,1,turquoise
ISCU,1,turquoise
GHC2,1,turquoise
OSBL2,0,grey
S6A17,1,turquoise
WDR13,1,turquoise
EPN3,1,turquoise
EHD4,1,turquoise
S1PR5,3,brown
SPTN4,0,grey
VP33B,0,grey
VPS16,0,grey
VPS11,1,turquoise
SH3L3,3,brown
SLK,1,turquoise
S6A15,1,turquoise
RBGPR,1,turquoise
DHX36,0,grey
IPYR2,0,grey
S12A5,1,turquoise
CDIP1,1,turquoise
TTYH1,0,grey
TM245,0,grey
PABP3,0,grey
CPVL,1,turquoise
CK068,0,grey
BOLA2,3,brown
TMX1,1,turquoise
BORG4,0,grey
PTN23,0,grey
DNJC5,1,turquoise
CHM4B,3,brown
RBSK,0,grey
FN3K,3,brown
MLP3A,3,brown
WNK1,0,grey
AMPB,0,grey
GOLP3,0,grey
TBB1,3,brown
E41L1,1,turquoise
GAPR1,3,brown
EHD1,1,turquoise
ALG2,0,grey
VIAAT,1,turquoise
TM38A,1,turquoise
OPA3,1,turquoise
PRR36,1,turquoise
MYH16,1,turquoise
ACSS3,1,turquoise
BCAS3,1,turquoise
RANB3,0,grey
DOCK5,0,grey
PGES2,1,turquoise
UBE2Z,1,turquoise
ACAD9,1,turquoise
TBA4B,0,grey
CAAP1,0,grey
MET7A,1,turquoise
CQ10B,0,grey
GORS2,1,turquoise
REEP1,0,grey
GHC1,1,turquoise
ARMT1,0,grey
LRC40,0,grey
SFXN1,1,turquoise
SPE39,1,turquoise
AGO3,0,grey
MA6D1,3,brown
L2HDH,1,turquoise
CSN7B,0,grey
CB39L,0,grey
ELP3,0,grey
KT3K,4,yellow
TBC17,3,brown
SYCM,0,grey
LIN7B,0,grey
AGRL3,1,turquoise
SIAE,0,grey
PKHA5,0,grey
TCTP8,0,grey
GBB4,0,grey
GRPE1,0,grey
MYG1,0,grey
CYBP,3,brown
RRAGC,0,grey
FOH1B,3,brown
RDH14,0,grey
CP4FB,5,green
TENS1,5,green
EMAL4,0,grey
GLOD4,0,grey
SPON1,1,turquoise
MCCB,0,grey
TANC2,1,turquoise
GBA2,0,grey
CPNE5,1,turquoise
VAT1L,1,turquoise
AGO4,0,grey
PLXA4,1,turquoise
KC1G1,0,grey
AT131,1,turquoise
RM47,1,turquoise
LYRM4,1,turquoise
NRX3B,1,turquoise
JPH1,0,grey
APMAP,1,turquoise
TRXR2,1,turquoise
ABCB6,0,grey
RAB18,0,grey
VTA1,1,turquoise
SYSM,1,turquoise
RAB9B,4,yellow
DLRB1,3,brown
NRN1,1,turquoise
INO1,6,red
ACO13,1,turquoise
RIC8A,0,grey
AT132,0,grey
RS10L,0,grey
LZTL1,1,turquoise
PLCB1,1,turquoise
CRAC1,0,grey
TIGAR,0,grey
WASH6,0,grey
RTN4,3,brown
HINT3,3,brown
RRAGD,0,grey
PFD4,6,red
NIT2,0,grey
CC177,0,grey
KI13B,0,grey
ANLN,3,brown
XPP1,0,grey
GEPH,1,turquoise
MYO5C,5,green
NPDC1,1,turquoise
ANM8,1,turquoise
DBLOH,0,grey
SAR1A,0,grey
SIAS,0,grey
SHLB2,1,turquoise
SPHK2,0,grey
S17A5,1,turquoise
PICK1,1,turquoise
SH2B1,3,brown
PYRG2,1,turquoise
D39U1,1,turquoise
ABCBA,0,grey
OLFL3,0,grey
ADPPT,5,green
PLS4,5,green
C42S2,3,brown
UBQL4,0,grey
HEBP1,3,brown
RAB6B,3,brown
VPS45,1,turquoise
PHP14,4,yellow
SERC1,0,grey
RHG35,1,turquoise
F1142,0,grey
PLCC,0,grey
LANC2,1,turquoise
KCND1,1,turquoise
KRT84,5,green
KRT82,0,grey
HOME2,1,turquoise
HOME3,1,turquoise
S6A13,0,grey
SYFB,1,turquoise
SYIM,1,turquoise
KLC4,0,grey
NRBP2,3,brown
BMP2K,0,grey
ATG3,3,brown
LRC4B,0,grey
AT8A2,1,turquoise
SAC1,0,grey
OLA1,0,grey
ECHD1,4,yellow
ACS2L,0,grey
ABHDA,1,turquoise
T11L1,0,grey
T106B,0,grey
LIN7C,0,grey
PLCE,0,grey
FA49B,5,green
ABCB8,0,grey
DD19A,4,yellow
GIMA4,0,grey
EXOC1,5,green
CC50A,1,turquoise
SEP11,1,turquoise
PARVA,5,green
PANK4,0,grey
EXD2,0,grey
DJC11,1,turquoise
TMLH,0,grey
ATD3A,1,turquoise
ARL8B,0,grey
PNPO,0,grey
ARMC1,1,turquoise
CS073,1,turquoise
RMND1,1,turquoise
OXSM,0,grey
GID8,0,grey
CZIB,0,grey
TM160,1,turquoise
NDUBB,1,turquoise
OCAD1,1,turquoise
ARHL2,3,brown
MIC19,1,turquoise
SYBU,0,grey
SIR5,1,turquoise
GFOD1,1,turquoise
MTMRA,0,grey
NDE1,0,grey
ARL15,1,turquoise
DJB12,0,grey
DPP3,3,brown
CLDN1,3,brown
SCN3A,1,turquoise
CA2D2,1,turquoise
TBA8,0,grey
TE2IP,0,grey
ABI2,1,turquoise
PSD3,1,turquoise
TMOD3,0,grey
KBRS1,0,grey
UGGG1,0,grey
TECR,0,grey
ERAP1,0,grey
ARP10,0,grey
CISD1,1,turquoise
FMN2,1,turquoise
STMN3,0,grey
F120A,0,grey
GDE1,1,turquoise
WWOX,0,grey
GLTP,3,brown
NINJ2,3,brown
GPC5B,0,grey
SACS,0,grey
MTCH1,1,turquoise
HPBP1,4,yellow
MAT2B,0,grey
MYOF,5,green
ITSN2,1,turquoise
EHD3,1,turquoise
EHD2,6,red
ARHGC,1,turquoise
SPN90,1,turquoise
TMOD2,1,turquoise
OGFR,6,red
KCND2,1,turquoise
MPP6,4,yellow
THYN1,3,brown
NDUF4,0,grey
HACD3,0,grey
EMC3,1,turquoise
NDUAD,1,turquoise
PDP1,0,grey
KCMF1,0,grey
ADA22,3,brown
FRS1L,1,turquoise
VAPA,1,turquoise
MARK1,1,turquoise
H2AW,1,turquoise
TM14C,1,turquoise
TOM7,1,turquoise
SEP10,1,turquoise
NTRI,1,turquoise
DLGP2,3,brown
ABRAL,0,grey
ARP3B,1,turquoise
SIRPG,1,turquoise
CAMP3,4,yellow
CACO1,1,turquoise
RHG23,0,grey
VPS18,0,grey
RELCH,1,turquoise
DIP2B,3,brown
HTR5B,0,grey
PCD10,0,grey
RRBP1,4,yellow
SYLC,1,turquoise
MYEF2,0,grey
HECW2,1,turquoise
ANFY1,4,yellow
SUCB1,1,turquoise
NRX2A,0,grey
GMPR2,4,yellow
VGLU1,1,turquoise
VGLU2,1,turquoise
IMPCT,0,grey
UVRAG,0,grey
1C05,8,pink
ATX10,0,grey
NCDN,1,turquoise
TFP11,1,turquoise
EP15R,1,turquoise
SAE1,0,grey
COPG2,0,grey
RBX2,3,brown
MRC2,1,turquoise
GBG12,1,turquoise
ARP21,0,grey
CPNE7,0,grey
DHCR7,3,brown
HDAC6,0,grey
DKK3,0,grey
VPS29,1,turquoise
EIF3K,0,grey
GRHPR,4,yellow
GABR1,1,turquoise
SAE2,0,grey
PEF1,0,grey
BIN2,3,brown
CSN7A,0,grey
DIC,1,turquoise
PPR1B,0,grey
CLIP2,3,brown
QCR9,1,turquoise
ZO2,4,yellow
DNJB4,1,turquoise
STK39,3,brown
ADDG,5,green
PKHB1,3,brown
NPS3A,0,grey
ABCF2,0,grey
AAKG2,0,grey
SUSD2,0,grey
NDRG3,1,turquoise
SEPT3,1,turquoise
ARMX3,1,turquoise
SWP70,0,grey
SUN2,0,grey
LTOR3,1,turquoise
SRP68,0,grey
CNTP2,1,turquoise
CHRD1,0,grey
SEPT9,0,grey
UBQL2,5,green
PCSK1,1,turquoise
PCYOX,1,turquoise
LAT2,1,turquoise
DPP2,0,grey
BAP29,1,turquoise
NB5R1,1,turquoise
PFD2,3,brown
S12A6,1,turquoise
PUF60,0,grey
NRBP,0,grey
ENOPH,3,brown
EVL,1,turquoise
NDUAC,1,turquoise
VATH,1,turquoise
TAGL3,1,turquoise
TR112,0,grey
GLSL,1,turquoise
NCKX2,0,grey
XPO7,1,turquoise
LCMT1,0,grey
VPS51,1,turquoise
ATIF1,1,turquoise
KAD3,0,grey
PLXA1,1,turquoise
GGT7,1,turquoise
RABX5,0,grey
NAGK,1,turquoise
ANX10,3,brown
HOOK1,1,turquoise
SH3L2,1,turquoise
RIMS3,1,turquoise
NGAP,1,turquoise
LAMP5,1,turquoise
CMC2,1,turquoise
DBNL,1,turquoise
DCTN4,3,brown
HSPB8,0,grey
GGA1,0,grey
STML2,1,turquoise
KCND3,1,turquoise
FBX2,1,turquoise
VPS28,0,grey
LSM7,0,grey
JUPI1,1,turquoise
FBX3,0,grey
PTBP2,0,grey
TNIK,0,grey
PITC1,3,brown
DP13A,3,brown
NUDT5,1,turquoise
RALY,3,brown
TF3C4,1,turquoise
ACSL6,1,turquoise
ACAD8,1,turquoise
AGO2,4,yellow
CDV3,1,turquoise
BAG5,0,grey
CFA45,4,yellow
AGO1,0,grey
RAB21,3,brown
RB22A,0,grey
PSME2,1,turquoise
HCN2,0,grey
DNPEP,1,turquoise
NRX1A,1,turquoise
RAB23,0,grey
MCTS1,1,turquoise
OGDHL,1,turquoise
S39AA,4,yellow
MRTFB,0,grey
NEB1,1,turquoise
